sequence,valid_speed_count,excluded_pair_count,min_speed_px_s,max_speed_px_s,range_width_px_s,zero_speed_count,min_occurrences,max_occurrences,min_prev_filename,min_filename,max_prev_filename,max_filename
GAREUD_R_000073,3594,2588,9.646,1644.998,1635.352,0,1,1,946.071700512.jpg,946.105045624.jpg,1073.718014328.jpg,1073.751359544.jpg
GAREUD_R_000074,1886,965,0.000,850.677,850.677,1,1,1,1389.240637624.jpg,1389.273983512.jpg,1363.197855544.jpg,1363.231201328.jpg
GAREUD_R_000075,6763,1741,0.000,3433.866,3433.866,2,2,1,361.802042920.jpg,361.835387648.jpg,383.609954568.jpg,383.643300456.jpg
GAREUD_R_000076,1742,690,7.066,1409.206,1402.140,0,1,1,683.368815592.jpg,683.402160568.jpg,701.775494024.jpg,701.808839056.jpg
GAREUD_R_000077,2764,260,0.000,991.336,991.336,1,1,1,929.820028592.jpg,929.853373592.jpg,922.217269976.jpg,922.250615408.jpg
GAREUD_R_000078,3219,1005,7.033,1477.095,1470.062,0,1,1,1177.892444488.jpg,1177.925790376.jpg,1186.028729592.jpg,1186.062074920.jpg
GAREUD_R_000079,3733,1234,0.000,1458.373,1458.373,1,1,1,1630.565640056.jpg,1630.598985568.jpg,1733.136189080.jpg,1733.169533976.jpg
GAREUD_R_000080,896,179,14.479,1294.267,1279.787,0,1,1,1939.018536568.jpg,1939.051881544.jpg,1931.415777592.jpg,1931.449123592.jpg
GAREUD_R_000081,1851,1584,9.222,2171.326,2162.103,0,1,1,2275.586820864.jpg,2275.620166488.jpg,2251.378037568.jpg,2251.411382376.jpg
GAREUD_R_000082,405,170,13.168,1335.029,1321.861,0,1,1,2431.623300080.jpg,2431.656644784.jpg,2443.094128624.jpg,2443.127473944.jpg
